,open,high,low,close,volume,edit_count,sentiment,neg_sentiment,tomorrow,target,RSI,Stoch_RSI,SMA(9),SMA(14),EMA(7),EMA(25),EMA(99),MACD,Signal Line,MACD Histogram,Fib23.599999999999998%,Fib38.2%,Fib50.0%,Fib61.8%,Fib78.60000000000001%,Fib100.0%,fib23.6%,fib38.2%,fib50.0%,fib61.8%,fib78.6%,fib100.0%,fib23.6%,fib38.2%,fib50.0%,fib61.8%,fib78.6%,fib100.0%,Tenkan-sen,Kijun-sen,Senkou Span A,Senkou Span B,Middle Band,Upper Band,Lower Band,OBV
2014-12-17,326.8550109863281,333.9540100097656,315.1520080566406,319.7760009765625,37567900,9.966666666666669,-0.5050062565939863,0.725880081526423,311.39599609375,0,19.724826502728575,0.0,343.6469997829861,353.6478576660156,339.1972749270553,356.5453002892662,379.7338637023286,-10.005675601635346,-5.478757108796287,-4.526918492839059,329.51673754882813,326.77164526367187,324.5530090332031,322.3343728027344,319.17563647460935,315.1520080566406,329.51673754882813,326.77164526367187,324.5530090332031,322.3343728027344,319.17563647460935,315.1520080566406,329.51673754882813,326.77164526367187,324.5530090332031,322.3343728027344,319.17563647460935,315.1520080566406,339.1094970703125,354.92649841308594,394.73099517822266,373.1944885253906,360.83125,397.070213757665,324.59228624233504,-176975292.0
2014-12-18,319.7850036621094,323.7090148925781,304.23199462890625,311.39599609375,39173000,9.833333333333334,-0.4884109221001101,0.7161934718398134,317.8429870605469,1,19.102051871540638,0.0,339.1111111111111,349.4901428222656,332.24695521872894,353.07227688961115,378.36710635015703,-12.101753074534258,-6.803356301943881,-5.298396772590377,319.11243811035155,316.26879315185545,313.9705047607422,311.6722163696289,308.400076965332,304.23199462890625,319.11243811035155,316.26879315185545,313.9705047607422,311.6722163696289,308.400076965332,304.23199462890625,319.11243811035155,316.26879315185545,313.9705047607422,311.6722163696289,308.400076965332,304.23199462890625,332.79449462890625,349.46649169921875,385.270751953125,373.1944885253906,357.57870025634764,399.19450751051016,315.9628930021851,-216148292.0
2014-12-19,311.1789855957031,318.5329895019531,306.7690124511719,317.8429870605469,23823100,10.0,-0.4662093745767706,0.7050823607287022,329.95599365234375,1,18.406462248814222,0.0,335.9419996473524,345.2750701904297,328.6459631791834,350.3623315181447,377.1566239643648,-13.091777421197321,-8.061040525794569,-5.030736895402752,315.75669091796874,314.0391502685547,312.6510009765625,311.2628516845703,309.28650354003906,306.7690124511719,315.75669091796874,314.0391502685547,312.6510009765625,311.2628516845703,309.28650354003906,306.7690124511719,315.75669091796874,314.0391502685547,312.6510009765625,311.2628516845703,309.28650354003906,306.7690124511719,332.79449462890625,349.46649169921875,383.0074996948242,373.1944885253906,354.69629974365233,398.9879648183973,310.40463466890736,-192325192.0
2014-12-20,317.6189880371094,330.32501220703125,316.04400634765625,329.95599365234375,20856700,9.966666666666669,-0.4632394090015372,0.7019077575540991,320.8429870605469,0,28.329857256110827,0.2574085991829475,333.6586642795139,342.072998046875,328.9734707974735,348.7926132207754,376.21261135812443,-12.751963749052663,-8.999225170446188,-3.7527385786064755,326.95469482421873,324.86966796875,323.18450927734375,321.4993505859375,319.1001416015625,316.04400634765625,326.95469482421873,324.86966796875,323.18450927734375,321.4993505859375,319.1001416015625,316.04400634765625,326.95469482421873,324.86966796875,323.18450927734375,321.4993505859375,319.1001416015625,316.04400634765625,328.7740020751953,349.46649169921875,383.0074996948242,373.1944885253906,352.29174957275393,396.46726202278035,308.1162371227275,-171468492.0
2014-12-21,329.5429992675781,329.6289978027344,318.90301513671875,320.8429870605469,15207600,9.633333333333333,-0.4648576454467825,0.7030982337445753,331.885986328125,1,25.83170328896459,0.3981318828056668,330.13655259874133,338.1978541782924,326.94084986324185,346.64264197768097,375.1052188721729,-13.067369930631969,-9.812854122483344,-3.254515808148625,327.0976658935547,325.5316724243164,324.26600646972656,323.0003405151367,321.1983754272461,318.90301513671875,327.0976658935547,325.5316724243164,324.26600646972656,323.0003405151367,321.1983754272461,318.90301513671875,327.0976658935547,325.5316724243164,324.26600646972656,323.0003405151367,321.1983754272461,318.90301513671875,328.7740020751953,345.91650390625,383.0074996948242,373.1944885253906,349.37164916992185,393.76585935898254,304.97743898086117,-186676092.0
2014-12-22,321.0679931640625,334.11700439453125,320.42498779296875,331.885986328125,22315100,10.0,-0.4801907561865699,0.7101815670779086,334.5719909667969,1,36.364949251467465,1.0,328.41543918185766,336.0533534458705,328.1771339794626,345.50751462002285,374.24083422129195,-12.28464412071628,-10.307212122129933,-1.977431998586347,330.8856884765625,328.8866540527344,327.27099609375,325.6553381347656,323.35507934570313,320.42498779296875,330.8856884765625,328.8866540527344,327.27099609375,325.6553381347656,323.35507934570313,320.42498779296875,330.8856884765625,328.8866540527344,327.27099609375,325.6553381347656,323.35507934570313,320.42498779296875,328.7740020751953,345.91650390625,379.13299560546875,379.8264923095703,346.9001983642578,389.2638551371611,304.5365415913545,-164360992.0
2014-12-23,332.0169982910156,336.2869873046875,329.60198974609375,334.5719909667969,16574200,9.9,-0.4811282292982524,0.7101815670779085,322.53399658203125,0,41.441053141054766,1.0,326.51988389756946,334.79285321916853,329.77584822629615,344.66632049285164,373.44745735620205,-11.317133282845873,-10.509196354273122,-0.8079369285727509,334.70932788085935,333.7333182373047,332.9444885253906,332.1556588134766,331.0325792236328,329.60198974609375,334.70932788085935,333.7333182373047,332.9444885253906,332.1556588134766,331.0325792236328,329.60198974609375,334.70932788085935,333.7333182373047,332.9444885253906,332.1556588134766,331.0325792236328,329.60198974609375,328.02349853515625,345.91650390625,379.13299560546875,388.78749084472656,344.87829742431643,385.41363289835067,304.3429619502822,-147786792.0
2014-12-24,334.385009765625,334.7409973144531,321.35699462890625,322.53399658203125,15092300,9.866666666666667,-0.4670152993435791,0.7023027791991207,319.00799560546875,0,39.095858321310615,0.8981881279891037,323.9853278266059,333.09063938685824,327.9653853152299,342.96383403817316,372.4291881407187,-11.390437639619961,-10.68544461134249,-0.704993028277471,331.58237268066404,329.6283082885742,328.0489959716797,326.4696836547852,324.22117120361327,321.35699462890625,331.58237268066404,329.6283082885742,328.0489959716797,326.4696836547852,324.22117120361327,321.35699462890625,331.58237268066404,329.6283082885742,328.0489959716797,326.4696836547852,324.22117120361327,321.35699462890625,325.0455017089844,345.91650390625,380.24574279785156,388.8594970703125,342.5247970581055,382.4771810699425,302.5724130462685,-162879092.0
2014-12-25,322.2860107421875,322.6700134277344,316.9580078125,319.00799560546875,9883640,9.8,-0.4617281204894315,0.698136112532454,327.92401123046875,1,35.50615084274452,0.7423482654380684,323.0904371473524,330.84078107561385,325.72603788778963,341.1210772356575,371.36076429001366,-11.599340702007794,-10.86822382947555,-0.7311168725322439,321.32198010253904,320.4880272827148,319.8140106201172,319.13999395751955,318.1803770141602,316.9580078125,321.32198010253904,320.4880272827148,319.8140106201172,319.13999395751955,318.1803770141602,316.9580078125,321.32198010253904,320.4880272827148,319.8140106201172,319.13999395751955,318.1803770141602,316.9580078125,320.2594909667969,344.13499450683594,380.24574279785156,388.8594970703125,339.6324966430664,377.43852280713736,301.8264704789955,-172762732.0
2014-12-26,319.1520080566406,331.42401123046875,316.62701416015625,327.92401123046875,16410500,9.133333333333333,-0.4534035694634051,0.6941361125324541,315.8630065917969,0,39.34655286536183,0.9090715226725171,323.99577162000867,329.0823538643973,326.27553122345944,340.1059183121815,370.49202922882273,-10.919575863969726,-10.878494236374385,-0.041081627595341175,327.931919921875,325.7715583496094,324.0255126953125,322.2794670410156,319.79357153320314,316.62701416015625,327.931919921875,325.7715583496094,324.0255126953125,322.2794670410156,319.79357153320314,316.62701416015625,327.931919921875,325.7715583496094,324.0255126953125,322.2794670410156,319.79357153320314,316.62701416015625,320.2594909667969,344.13499450683594,383.3387451171875,388.8594970703125,337.28944702148436,371.56617356899756,303.01272047397117,-156352232.0
